id,ml_id,ml_title,ml_year,title,year
49530,49530,Blood Diamond,2006,Blood Diamond,2006
379,379,Timecop,1994,Timecop,1994
380,380,True Lies,1994,True Lies,1994
381,381,When a Man Loves a Woman,1994,When a Man Loves a Woman,1994
378,378,Speechless,1994,Speechless,1994
383,383,Wyatt Earp,1994,Wyatt Earp,1994
8578,8578,Undead,2003,Undead,2003
8581,8581,Pirates of Silicon Valley,1999,Pirates of Silicon Valley,1999
106889,106889,Tim's Vermeer,2013,Tim's Vermeer,2013
8588,8588,Killing Me Softly,2002,Killing Me Softly,2002
33164,33164,House of Wax,2005,House of Wax,2005
33166,33166,Crash,2004,Crash,2004
8593,8593,Juice,1992,Juice,1992
8596,8596,Revenge of the Pink Panther,1978,Revenge of the Pink Panther,1978
410,410,Addams Family Values,1993,Addams Family Values,1993
413,413,Airheads,1994,Airheads,1994
415,415,Another Stakeout,1993,Another Stakeout,1993
8607,8607,Tokyo Godfathers,2003,Tokyo Godfathers,2003
417,417,Barcelona,1994,Barcelona,1994
106916,106916,American Hustle,2013,American Hustle,2013
420,420,Beverly Hills Cop III,1994,Beverly Hills Cop III,1994
106920,106920,Her,2013,Her,2013
8618,8618,Johnny Guitar,1954,Johnny Guitar,1954
8622,8622,Fahrenheit 9/11,2004,Fahrenheit 9/11,2004
431,431,Carlito's Way,1993,Carlito's Way,1993
8623,8623,Roxanne,1987,Roxanne,1987
434,434,Cliffhanger,1993,Cliffhanger,1993
115122,115122,What We Do in the Shadows,2014,What We Do in the Shadows,2014
440,440,Dave,1993,Dave,1993
441,441,Dazed and Confused,1993,Dazed and Confused,1993
442,442,Demolition Man,1993,Demolition Man,1993
8636,8636,Spider-Man 2,2004,Spider-Man 2,2004
445,445,Fatal Instinct,1993,Fatal Instinct,1993
82366,82366,Hatchet II,2010,Hatchet II,2010
8638,8638,Before Sunset,2004,Before Sunset,2004
448,448,Fearless,1993,Fearless,1993
65982,65982,Outlander,2008,Outlander,2008
450,450,With Honors,1994,With Honors,1994
451,451,Flesh and Bone,1993,Flesh and Bone,1993
8644,8644,"I, Robot",2004,"I, Robot",2004
452,452,Widows' Peak,1994,Widows' Peak,1994
115147,115147,The Best of Me,2014,The Best of Me,2014
115149,115149,John Wick,2014,John Wick,2014
461,461,Go Fish,1994,Go Fish,1994
90576,90576,What's Your Number?,2011,What's Your Number?,2011
90578,90578,Dream House,2011,Dream House,2011
466,466,Hot Shots! Part Deux,1993,Hot Shots! Part Deux,1993
8661,8661,How the West Was Won,1962,How the West Was Won,1962
8663,8663,Live Forever,2003,Live Forever,2003
474,474,In the Line of Fire,1993,In the Line of Fire,1993
475,475,In the Name of the Father,1993,In the Name of the Father,1993
8667,8667,A Home at the End of the World,2004,A Home at the End of the World,2004
480,480,Jurassic Park,1993,Jurassic Park,1993
481,481,Kalifornia,1993,Kalifornia,1993
482,482,Killing Zoe,1994,Killing Zoe,1994
485,485,Last Action Hero,1993,Last Action Hero,1993
115174,115174,Love Is Strange,2014,Love Is Strange,2014
8678,8678,Guns of the Magnificent Seven,1969,Guns of the Magnificent Seven,1969
490,490,Malice,1993,Malice,1993
492,492,Manhattan Murder Mystery,1993,Manhattan Murder Mystery,1993
494,494,Executive Decision,1996,Executive Decision,1996
8690,8690,Slaughterhouse-Five,1972,Slaughterhouse-Five,1972
499,499,Mr. Wonderful,1993,Mr. Wonderful,1993
500,500,Mrs. Doubtfire,1993,Mrs. Doubtfire,1993
49651,49651,Rocky Balboa,2006,Rocky Balboa,2006
506,506,Orlando,1992,Orlando,1992
508,508,Philadelphia,1993,Philadelphia,1993
8701,8701,Dr. Jekyll and Ms. Hyde,1995,Dr. Jekyll and Ms. Hyde,1995
510,510,Poetic Justice,1993,Poetic Justice,1993
8710,8710,Map of the Human Heart,1993,Map of the Human Heart,1993
519,519,RoboCop 3,1993,RoboCop 3,1993
521,521,Romeo Is Bleeding,1993,Romeo Is Bleeding,1993
523,523,Ruby in Paradise,1993,Ruby in Paradise,1993
524,524,Rudy,1993,Rudy,1993
527,527,Schindler's List,1993,Schindler's List,1993
529,529,Searching for Bobby Fischer,1993,Searching for Bobby Fischer,1993
532,532,Serial Mom,1994,Serial Mom,1994
8725,8725,"Goodbye, Columbus",1969,"Goodbye, Columbus",1969
535,535,Short Cuts,1993,Short Cuts,1993
537,537,Sirens,1994,Sirens,1994
538,538,Six Degrees of Separation,1993,Six Degrees of Separation,1993
539,539,Sleepless in Seattle,1993,Sleepless in Seattle,1993
540,540,Sliver,1993,Sliver,1993
541,541,Blade Runner,1982,Blade Runner,1982
542,542,Son in Law,1993,Son in Law,1993
82459,82459,True Grit,2010,True Grit,2010
543,543,So I Married an Axe Murderer,1993,So I Married an Axe Murderer,1993
115235,115235,Young Ones,2014,Young Ones,2014
74275,74275,I Love You Phillip Morris,2009,I Love You Phillip Morris,2009
548,548,Terminal Velocity,1994,Terminal Velocity,1994
550,550,Threesome,1994,Threesome,1994
553,553,Tombstone,1993,Tombstone,1993
554,554,Trial by Jury,1994,Trial by Jury,1994
555,555,True Romance,1993,True Romance,1993
66097,66097,Coraline,2009,Coraline,2009
562,562,Welcome to the Dollhouse,1995,Welcome to the Dollhouse,1995
564,564,Chasers,1994,Chasers,1994
8760,8760,Side Out,1990,Side Out,1990
82499,82499,How Do You Know,2010,How Do You Know,2010
586,586,Home Alone,1990,Home Alone,1990
590,590,Dances with Wolves,1990,Dances with Wolves,1990
8784,8784,Garden State,2004,Garden State,2004
597,597,Pretty Woman,1990,Pretty Woman,1990
600,600,Love and a .45,1994,Love and a .45,1994
8798,8798,Collateral,2004,Collateral,2004
8799,8799,Little Black Book,2004,Little Black Book,2004
608,608,Fargo,1996,Fargo,1996
41569,41569,King Kong,2005,King Kong,2005
82527,82527,Barney's Version,2010,Barney's Version,2010
41571,41571,Memoirs of a Geisha,2005,Memoirs of a Geisha,2005
628,628,Primal Fear,1996,Primal Fear,1996
631,631,All Dogs Go to Heaven 2,1996,All Dogs Go to Heaven 2,1996
634,634,Theodore Rex,1995,Theodore Rex,1995
640,640,Diabolique,1996,Diabolique,1996
8838,8838,Alice Doesn't Live Here Anymore,1974,Alice Doesn't Live Here Anymore,1974
647,647,Courage Under Fire,1996,Courage Under Fire,1996
98956,98956,Barfi!,2012,Barfi!,2012
8846,8846,Highwaymen,2003,Highwaymen,2003
98961,98961,Zero Dark Thirty,2012,Zero Dark Thirty,2012
41617,41617,Havoc,2005,Havoc,2005
661,661,James and the Giant Peach,1996,James and the Giant Peach,1996
8860,8860,Cellular,2004,Cellular,2004
8865,8865,Sky Captain and the World of Tomorrow,2004,Sky Captain and the World of Tomorrow,2004
673,673,Space Jam,1996,Space Jam,1996
678,678,Some Folks Call It a Sling Blade,1993,Some Folks Call It a Sling Blade,1993
8874,8874,Shaun of the Dead,2004,Shaun of the Dead,2004
8880,8880,Mask,1985,Mask,1985
107196,107196,Is the Man Who Is Tall Happy?,2013,Is the Man Who Is Tall Happy?,2013
701,701,Daens,1992,Daens,1992
702,702,Faces,1968,Faces,1968
710,710,Celtic Pride,1996,Celtic Pride,1996
712,712,Captives,1994,Captives,1994
8907,8907,Shark Tale,2004,Shark Tale,2004
8910,8910,I Heart Huckabees,2004,I Heart Huckabees,2004
8914,8914,Primer,2004,Primer,2004
8918,8918,Eulogy,2004,Eulogy,2004
726,726,Last Dance,1996,Last Dance,1996
728,728,Cold Comfort Farm,1995,Cold Comfort Farm,1995
74458,74458,Shutter Island,2010,Shutter Island,2010
8923,8923,Tess,1979,Tess,1979
8929,8929,Black Beauty,1971,Black Beauty,1971
742,742,Thinner,1996,Thinner,1996
743,743,Spy Hard,1996,Spy Hard,1996
90866,90866,Hugo,2011,Hugo,2011
8950,8950,The Machinist,2004,The Machinist,2004
58103,58103,Vantage Point,2008,Vantage Point,2008
49910,49910,Freedom Writers,2007,Freedom Writers,2007
41721,41721,Look Both Ways,2005,Look Both Ways,2005
8951,8951,Vera Drake,2004,Vera Drake,2004
766,766,I Shot Andy Warhol,1996,I Shot Andy Warhol,1996
8958,8958,Ray,2004,Ray,2004
8966,8966,Kinsey,2004,Kinsey,2004
775,775,Spirits of the Dead,1968,Spirits of the Dead,1968
778,778,Trainspotting,1996,Trainspotting,1996
8970,8970,Finding Neverland,2004,Finding Neverland,2004
49932,49932,Inland Empire,2006,Inland Empire,2006
781,781,Stealing Beauty,1996,Stealing Beauty,1996
8972,8972,National Treasure,2004,National Treasure,2004
785,785,Kingpin,1996,Kingpin,1996
786,786,Eraser,1996,Eraser,1996
8984,8984,Ocean's Twelve,2004,Ocean's Twelve,2004
8988,8988,Cinderfella,1960,Cinderfella,1960
800,800,Lone Star,1996,Lone Star,1996
801,801,Harriet the Spy,1996,Harriet the Spy,1996
802,802,Phenomenon,1996,Phenomenon,1996
99112,99112,Jack Reacher,2012,Jack Reacher,2012
41769,41769,Mozart and the Whale,2005,Mozart and the Whale,2005
99114,99114,Django Unchained,2012,Django Unchained,2012
49961,49961,Notes on a Scandal,2006,Notes on a Scandal,2006
58156,58156,Semi-Pro,2008,Semi-Pro,2008
9004,9004,D.A.R.Y.L.,1985,D.A.R.Y.L.,1985
107314,107314,Oldboy,2013,Oldboy,2013
9013,9013,Secret Honor,1984,Secret Honor,1984
9018,9018,Control Room,2004,Control Room,2004
829,829,Joe's Apartment,1996,Joe's Apartment,1996
66365,66365,Trancers,1985,Trancers,1985
832,832,Ransom,1996,Ransom,1996
115534,115534,Ouija,2014,Ouija,2014
849,849,Escape from L.A.,1996,Escape from L.A.,1996
851,851,Basquiat,1996,Basquiat,1996
74582,74582,I Hope They Serve Beer in Hell,2009,I Hope They Serve Beer in Hell,2009
868,868,Death in Brunswick,1991,Death in Brunswick,1991
115569,115569,Nightcrawler,2014,Nightcrawler,2014
176,176,Living in Oblivion,1995,Living in Oblivion,1995
899,899,Singin' in the Rain,1952,Singin' in the Rain,1952
901,901,Funny Face,1957,Funny Face,1957
902,902,Breakfast at Tiffany's,1961,Breakfast at Tiffany's,1961
903,903,Vertigo,1958,Vertigo,1958
908,908,North by Northwest,1959,North by Northwest,1959
910,910,Some Like It Hot,1959,Some Like It Hot,1959
911,911,Charade,1963,Charade,1963
914,914,My Fair Lady,1964,My Fair Lady,1964
915,915,Sabrina,1954,Sabrina,1954
916,916,Roman Holiday,1953,Roman Holiday,1953
921,921,My Favorite Year,1982,My Favorite Year,1982
926,926,All About Eve,1950,All About Eve,1950
115617,115617,Big Hero 6,2014,Big Hero 6,2014
933,933,To Catch a Thief,1955,To Catch a Thief,1955
937,937,Love in the Afternoon,1957,Love in the Afternoon,1957
948,948,Giant,1956,Giant,1956
949,949,East of Eden,1955,East of Eden,1955
58297,58297,Doomsday,2008,Doomsday,2008
33725,33725,It's All Gone Pete Tong,2004,It's All Gone Pete Tong,2004
74688,74688,Dear John,2010,Dear John,2010
971,971,Cat on a Hot Tin Roof,1958,Cat on a Hot Tin Roof,1958
115667,115667,"Love, Rosie",2014,"Love, Rosie",2014
986,986,Fly Away Home,1996,Fly Away Home,1996
991,991,Michael Collins,1996,Michael Collins,1996
994,994,Big Night,1996,Big Night,1996
999,999,2 Days in the Valley,1996,2 Days in the Valley,1996
1020,1020,Cool Runnings,1993,Cool Runnings,1993
91134,91134,My Week with Marilyn,2011,My Week with Marilyn,2011
33794,33794,Batman Begins,2005,Batman Begins,2005
1028,1028,Mary Poppins,1964,Mary Poppins,1964
1031,1031,Bedknobs and Broomsticks,1971,Bedknobs and Broomsticks,1971
1036,1036,Die Hard,1988,Die Hard,1988
1042,1042,That Thing You Do!,1996,That Thing You Do!,1996
1046,1046,Beautiful Thing,1996,Beautiful Thing,1996
1050,1050,Looking for Richard,1996,Looking for Richard,1996
42011,42011,Fun with Dick and Jane,2005,Fun with Dick and Jane,2005
1055,1055,Shadow Conspiracy,1997,Shadow Conspiracy,1997
1057,1057,Everyone Says I Love You,1996,Everyone Says I Love You,1996
1061,1061,Sleepers,1996,Sleepers,1996
33832,33832,Yes,2004,Yes,2004
33834,33834,Land of the Dead,2005,Land of the Dead,2005
74795,74795,Green Zone,2010,Green Zone,2010
1070,1070,Macao,1952,Macao,1952
1077,1077,Sleeper,1973,Sleeper,1973
1086,1086,Dial M for Murder,1954,Dial M for Murder,1954
1089,1089,Reservoir Dogs,1992,Reservoir Dogs,1992
1090,1090,Platoon,1986,Platoon,1986
1091,1091,Weekend at Bernie's,1989,Weekend at Bernie's,1989
1092,1092,Basic Instinct,1992,Basic Instinct,1992
1095,1095,Glengarry Glen Ross,1992,Glengarry Glen Ross,1992
1096,1096,Sophie's Choice,1982,Sophie's Choice,1982
1097,1097,E.T. the Extra-Terrestrial,1982,E.T. the Extra-Terrestrial,1982
1101,1101,Top Gun,1986,Top Gun,1986
1103,1103,Rebel Without a Cause,1955,Rebel Without a Cause,1955
33880,33880,Me and You and Everyone We Know,2005,Me and You and Everyone We Know,2005
50274,50274,Venus,2006,Venus,2006
1124,1124,On Golden Pond,1981,On Golden Pond,1981
1129,1129,Escape from New York,1981,Escape from New York,1981
1131,1131,Jean de Florette,1986,Jean de Florette,1986
1135,1135,Private Benjamin,1980,Private Benjamin,1980
1136,1136,Monty Python and the Holy Grail,1975,Monty Python and the Holy Grail,1975
115824,115824,Mr. Turner,2014,Mr. Turner,2014
1137,1137,Hustler White,1996,Hustler White,1996
83059,83059,White Material,2009,White Material,2009
58490,58490,Miss Pettigrew Lives for a Day,2008,Miss Pettigrew Lives for a Day,2008
83086,83086,Burlesque,2010,Burlesque,2010
1168,1168,Bad Moon,1996,Bad Moon,1996
1171,1171,Bob Roberts,1992,Bob Roberts,1992
1175,1175,Delicatessen,1991,Delicatessen,1991
1178,1178,Paths of Glory,1957,Paths of Glory,1957
1185,1185,My Left Foot,1989,My Left Foot,1989
1186,1186,"Sex, Lies, and Videotape",1989,"Sex, Lies, and Videotape",1989
1188,1188,Strictly Ballroom,1992,Strictly Ballroom,1992
115881,115881,9,2005,9,2005
1199,1199,Brazil,1985,Brazil,1985
1200,1200,Aliens,1986,Aliens,1986
1204,1204,Lawrence of Arabia,1962,Lawrence of Arabia,1962
1207,1207,To Kill a Mockingbird,1962,To Kill a Mockingbird,1962
1208,1208,Apocalypse Now,1979,Apocalypse Now,1979
1213,1213,Goodfellas,1990,Goodfellas,1990
1214,1214,Alien,1979,Alien,1979
1215,1215,Army of Darkness,1993,Army of Darkness,1993
1217,1217,Ran,1985,Ran,1985
1222,1222,Full Metal Jacket,1987,Full Metal Jacket,1987
1224,1224,Henry V,1989,Henry V,1989
1227,1227,Once Upon a Time in America,1984,Once Upon a Time in America,1984
1228,1228,Raging Bull,1980,Raging Bull,1980
1230,1230,Annie Hall,1977,Annie Hall,1977
99537,99537,Extracted,2012,Extracted,2012
1235,1235,Harold and Maude,1971,Harold and Maude,1971
1238,1238,Local Hero,1983,Local Hero,1983
1242,1242,Glory,1989,Glory,1989
1244,1244,Manhattan,1979,Manhattan,1979
1245,1245,Miller's Crossing,1990,Miller's Crossing,1990
1246,1246,Dead Poets Society,1989,Dead Poets Society,1989
1248,1248,Touch of Evil,1958,Touch of Evil,1958
1252,1252,Chinatown,1974,Chinatown,1974
1255,1255,Bad Taste,1987,Bad Taste,1987
1259,1259,Stand by Me,1986,Stand by Me,1986
107756,107756,A.C.O.D.,2013,A.C.O.D.,2013
1264,1264,Diva,1981,Diva,1981
1265,1265,Groundhog Day,1993,Groundhog Day,1993
1270,1270,Back to the Future,1985,Back to the Future,1985
1271,1271,Fried Green Tomatoes,1991,Fried Green Tomatoes,1991
1272,1272,Patton,1970,Patton,1970
99574,99574,Promised Land,2012,Promised Land,2012
1274,1274,Akira,1988,Akira,1988
1275,1275,Highlander,1986,Highlander,1986
1276,1276,Cool Hand Luke,1967,Cool Hand Luke,1967
107771,107771,Only Lovers Left Alive,2013,Only Lovers Left Alive,2013
1278,1278,Young Frankenstein,1974,Young Frankenstein,1974
1279,1279,Night on Earth,1991,Night on Earth,1991
1285,1285,Heathers,1989,Heathers,1989
1286,1286,Somewhere in Time,1980,Somewhere in Time,1980
50440,50440,Primeval,2007,Primeval,2007
1290,1290,Some Kind of Wonderful,1987,Some Kind of Wonderful,1987
1291,1291,Indiana Jones and the Last Crusade,1989,Indiana Jones and the Last Crusade,1989
1292,1292,Being There,1979,Being There,1979
1293,1293,Gandhi,1982,Gandhi,1982
1297,1297,Real Genius,1985,Real Genius,1985
1302,1302,Field of Dreams,1989,Field of Dreams,1989
115991,115991,"Kumiko, the Treasure Hunter",2014,"Kumiko, the Treasure Hunter",2014
1304,1304,Butch Cassidy and the Sundance Kid,1969,Butch Cassidy and the Sundance Kid,1969
1305,1305,"Paris, Texas",1984,"Paris, Texas",1984
1307,1307,When Harry Met Sally...,1989,When Harry Met Sally...,1989
1318,1318,Blue Juice,1995,Blue Juice,1995
1342,1342,Candyman,1992,Candyman,1992
83270,83270,Made in Dagenham,2010,Made in Dagenham,2010
1354,1354,Breaking the Waves,1996,Breaking the Waves,1996
1355,1355,Nightwatch,1997,Nightwatch,1997
1357,1357,Shine,1996,Shine,1996
1358,1358,Sling Blade,1996,Sling Blade,1996
1359,1359,Jingle All the Way,1996,Jingle All the Way,1996
1367,1367,101 Dalmatians,1996,101 Dalmatians,1996
1370,1370,Die Hard 2,1990,Die Hard 2,1990
1378,1378,Young Guns,1988,Young Guns,1988
1380,1380,Grease,1978,Grease,1978
1385,1385,Under Siege,1992,Under Siege,1992
1387,1387,Jaws,1975,Jaws,1975
91500,91500,The Hunger Games,2012,The Hunger Games,2012
42351,42351,Threads,1984,Threads,1984
1392,1392,Citizen Ruth,1996,Citizen Ruth,1996
1393,1393,Jerry Maguire,1996,Jerry Maguire,1996
1394,1394,Raising Arizona,1987,Raising Arizona,1987
34162,34162,Wedding Crashers,2005,Wedding Crashers,2005
1396,1396,Sneakers,1992,Sneakers,1992
1391,1391,Mars Attacks!,1996,Mars Attacks!,1996
1401,1401,Ghosts of Mississippi,1996,Ghosts of Mississippi,1996
1404,1404,Night Falls on Manhattan,1996,Night Falls on Manhattan,1996
1407,1407,Scream,1996,Scream,1996
1412,1412,Some Mother's Son,1996,Some Mother's Son,1996
1416,1416,Evita,1996,Evita,1996
1419,1419,Walkabout,1971,Walkabout,1971
26010,26010,Carousel,1956,Carousel,1956
1438,1438,Dante's Peak,1997,Dante's Peak,1997
1445,1445,McHale's Navy,1997,McHale's Navy,1997
1449,1449,Waiting for Guffman,1996,Waiting for Guffman,1996
116138,116138,Leviathan,2014,Leviathan,2014
1457,1457,Fools Rush In,1997,Fools Rush In,1997
1459,1459,Absolute Power,1997,Absolute Power,1997
1464,1464,Lost Highway,1997,Lost Highway,1997
1465,1465,Rosewood,1997,Rosewood,1997
1466,1466,Donnie Brasco,1997,Donnie Brasco,1997
1485,1485,Liar Liar,1997,Liar Liar,1997
99795,99795,Whores' Glory,2011,Whores' Glory,2011
58839,58839,Leatherheads,2008,Leatherheads,2008
