movie_id,ml_id,ml_title,ml_year,redial_title,redial_year,plot,title,imdb_id,tmdb_id
114707,114707,Horns,2014,Horns,2014,"Small town inhabitants accuse Ig Perrish of killing his sweetheart, Merrin Williams. Even his parents believe he is guilty. Only his childhood friend and lawyer Lee Tourneau believes Ig is telling the truth. Then, out of the blue, Ig sees horns sprout from his forehead but soon finds these a blessing as people now confess their sins and inner dark desires to him. Ig uses the horns to discover who the killer of his beloved girlfriend is.::Claudio Carvalho, Rio de Janeiro, Brazil / edited by statmanjeff",Horns,1528071,149509
21,21,Get Shorty,1995,Get Shorty,1995,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,Get Shorty,0113161,8012
22,22,Copycat,1995,Copycat,1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Copycat,0112722,1710
23,23,Assassins,1995,Assassins,1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Assassins,0112401,9691
25,25,Leaving Las Vegas,1995,Leaving Las Vegas,1995,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Leaving Las Vegas,0113627,451
57370,57370,Mad Money,2008,Mad Money,2008,"Don and Bridget Cardigan's upper middle class lifestyle is threatened since Don, who has been out of work for a year, seems to have given up looking for a job, and housewife Bridget has been out of the workforce for most of her life. They are close to $300,000 in debt. Finding out this information, Bridget comes to the conclusion that she needs to get a job - any job - that at least provides them with some benefits. She reluctantly takes a job as a janitor at the Federal Reserve Bank of Kansas City. Almost immediately, Bridget is enthralled with all the old worn out money that is being shredded. She comes up with a plan to get her old lifestyle back by stealing much of that money, which she believes is an easy job since the locks used on the money carts are standard equipment and as she notices that no one ever checks the garbage as she goes about her work. Her plan needs the cooperation of one person who works the shredder and one person who pushes the carts of money. The two people she co-opts are single mom Nina Brewster and diabetic, trailer living and constant music listening Jackie Truman. Jackie is easy to convince, but Nina is only convinced when Bridget brings it to her attention that the money would allow her to provide a better education to her two bright sons. Nina vows to kill Bridget if she ever loses her children because of this scheme. As the three woman progress with the plan, it is threatened by: the bank's head of security, a man named Glover, who believes it is impossible to steal money from the reserve; another security guard at the reserve named Barry who seems to be attracted to Nina; Jackie's working class husband Bob who is not used to having money; Don, a conservative man who can't understand being on the wrong side of the law; and Bridget herself who seems to be increasingly focused on getting more and more money with no end in sight, which seems to be diverging from the priorities of her two accomplices.::Huggo",Mad Money,0951216,12085
27,27,Now and Then,1995,Now and Then,1995,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,Now and Then,0114011,9263
31,31,Dangerous Minds,1995,Dangerous Minds,1995,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,Dangerous Minds,0112792,9909
34,34,Babe,1995,Babe,1995,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Babe,0112431,9598
35,35,Carrington,1995,Carrington,1995,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,Carrington,0112637,47018
36,36,Dead Man Walking,1995,Dead Man Walking,1995,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Dead Man Walking,0112818,687
39,39,Clueless,1995,Clueless,1995,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",Clueless,0112697,9603
42,42,Dead Presidents,1995,Dead Presidents,1995,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",Dead Presidents,0112819,11443
45,45,To Die For,1995,To Die For,1995,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,To Die For,0114681,577
46,46,How to Make an American Quilt,1995,How to Make an American Quilt,1995,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,How to Make an American Quilt,0113347,11861
8239,8239,Viridiana,1961,Viridiana,1961,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.",Viridiana,0055601,4497
8238,8238,Little Murders,1971,Little Murders,1971,"An idealistic girl, Patsy Newquist, saves a young apathetic photographer, Alfred Chamberlain, from a gang of hooligans. She falls for him, but he turns out to be a nihilist. They go out anyway. All this happens against the background of random shootings in NYC (at the time the play the movie is based on was written, the city was going broke). Her family accept him, but when she tries to change him and get him to find meaning in life, things go horribly wrong in a cruel twist of fate.::John Vogel <jlvogel@comcast.net>",Little Murders,0067350,27459
52,52,Mighty Aphrodite,1995,Mighty Aphrodite,1995,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Mighty Aphrodite,0113819,11448
55,55,Georgia,1995,Georgia,1995,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister...,Georgia,0113158,97406
57401,57401,Cleaner,2007,Cleaner,2007,"Tom Cutler, a retired police officer now runs a company which specialises in crime scene clean up. He is assigned a clean up job post a homicide. After doing the job he discovers that he has been conned into cleaning up a crime scene and must try to unravel the mystery behind what happened in that house.::ColiD",Cleaner,0896798,13252
62,62,Mr. Holland's Opus,1995,Mr. Holland's Opus,1995,A frustrated composer finds fulfillment as a high school music teacher.,Mr. Holland's Opus,0113862,2054
8254,8254,Arizona Dream,1993,Arizona Dream,1993,A young New Yorker goes to Arizona where he finds freedom to both love and dream.,Arizona Dream,0106307,11044
65,65,Bio-Dome,1996,Bio-Dome,1996,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Bio-Dome,0115683,9536
8259,8259,Hooper,1978,Hooper,1978,"Aging stuntman Sonney Hooper is still on top as one of the best stuntmen in the business. But up and coming Ski is starting to do bigger and better stunts. Hooper has the experience to setup a stunt safely, and Ski lacks the common sense to know when a stunt is too dangerous. Maybe together, along with their fun loving buddies, they can do a stunt together that will surpass anything that anyone has done.::Brian W Martz <B.Martz@Genie.com>",Hooper,0077696,16214
32840,32840,Vincent,1982,Vincent,1982,"Vincent Malloy, a polite 7-year-old boy and a fervent Vincent Price aficionado, has only one dream: to become like his idol. With this in mind and with the help of his unrestrained imagination, young Vincent relives his favourite actor's movies and stories, performing strange experiments in the likes of Edgar Allan Poe's tales. However, much to the boy's irritation, somehow, his mother always manages to get in the way. Poor Vincent, no one understands you.::Nick Riganas",Vincent,0084868,32085
72,72,Kicking and Screaming,1995,Kicking and Screaming,1995,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing...",Kicking and Screaming,0113537,28387
57421,57421,Hatchet,2006,Hatchet,2006,"A motley crew of tourists embark on a boat ride of the haunted Louisiana bayous where they learn the terrifying tale of local legend ""Victor Crowley""; a horribly disfigured man who was tragically and accidentally killed with a hatchet by the hands of his own father. But when the boat sinks and the ghost story turns out to be real, the group tries desperately to escape the swamp with their lives...and all of their pieces.::Anonymous",Hatchet,0422401,11908
86,86,White Squall,1996,White Squall,1996,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,White Squall,0118158,10534
89,89,Nick of Time,1995,Nick of Time,1995,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",Nick of Time,0113972,2086
98400,98400,Imaginaerum,2012,Imaginaerum,2012,"Imaginaerum tells the story of an elderly composer, Tom, who suffers from severe dementia. As he has had the disease for years and has regressed into childhood, he remembers practically nothing from his adult life. His music, friends, all his past including the memory of his daughter are a blur in his fragile mind. All he has left is the imagination of a ten year old boy. As he drifts away into coma, it seems impossible to get back what he has lost. Or is it? The film is a journey between two different dimensions. Tom travels through his imaginary world seeking answers and finding memories, while his daughter, Gem, tries to recover the bond she had once shared with her father in the real world. As they have become more and more distant from each other over the years, and as there's even greater obstacles separating them now Tom's coma and his imminent death Gem's project feels doomed to failure. However, through Tom's darkest secrets, Gem discovers the path she must follow in order to find her father again. There are some questions we must ask ourselves before entering the world of Imaginaerum. What is most important in life? Can the power of memories protect us during our last moments? Will our imagination help us find the spark of life in the deepest darkness? Can we still find love after bitter forgiveness? Imaginaerum is an emotional fantasy-adventure powered by the music of Nightwish. The story reminds us of our childhood where the smallest but most precious thing meant everything and losing it would have left an everlasting scar. Now its time to reopen the wound and see what became of it, but above all, where it came from.::Official site",Imaginaerum,1959409,75204
100,100,City Hall,1996,City Hall,1996,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",City Hall,0115907,11062
101,101,Bottle Rocket,1996,Bottle Rocket,1996,Three friends plan to pull off a simple robbery and go on the run.,Bottle Rocket,0115734,13685
104,104,Happy Gilmore,1996,Happy Gilmore,1996,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,Happy Gilmore,0116483,9614
110,110,Braveheart,1995,Braveheart,1995,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.",Braveheart,0112573,197
111,111,Taxi Driver,1976,Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action, while attempting to liberate a twelve-year-old prostitute.",Taxi Driver,0075314,103
114,114,Margaret's Museum,1995,Margaret's Museum,1995,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",Margaret's Museum,0113774,71754
118,118,If Lucy Fell,1996,If Lucy Fell,1996,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe...",If Lucy Fell,0116606,10324
49272,49272,Casino Royale,2006,Casino Royale,2006,"Casino Royale introduces James Bond before he holds his license to kill. But Bond is no less dangerous, and with two professional assassinations in quick succession, he is elevated to '00' status. Bond's first 007 mission takes him to Uganda where he is to spy on a terrorist, Mollaka. Not everything goes to plan and Bond decides to investigate, independently of MI6, in order to track down the rest of the terrorist cell. Following a lead to the Bahamas, he encounters Dimitrios and his girlfriend, Solange. He learns that Dimitrios is involved with Le Chiffre, banker to the world's terrorist organizations. Secret Service intelligence reveals that Le Chiffre is planning to raise money in a high-stakes poker game in Montenegro at Le Casino Royale. MI6 assigns 007 to play against him, knowing that if Le Chiffre loses, it will destroy his organization. 'M' places Bond under the watchful eye of the beguiling Vesper Lynd. At first skeptical of what value Vesper can provide, Bond's interest in her deepens as they brave danger together and even torture at the hands of Le Chiffre. In Montenegro, Bond allies himself with Mathis MI6's local field agent, and Felix Leiter who is representing the interests of the CIA. The marathon game proceeds with dirty tricks and violence, raising the stakes beyond blood money and reaching a terrifying climax.::Krafty",Casino Royale,0381061,36557
139385,139385,The Revenant,2015,The Revenant,2015,"In late 1823, Hugh Glass guides Andrew Henry's trappers through unorganized territory. While he and his half-Pawnee son, Hawk, are hunting, the company's camp is attacked by an Arikara war party. Guided by Glass, the survivors travel on foot to Fort Kiowa, as he believes traveling downriver will make them vulnerable. After docking, the crew stashes the pelts near the shore. While scouting game, Glass is badly mauled by a grizzly bear and left near death. Trapper John Fitzgerald, fearful of another Arikara attack, argues that the group must mercy-kill Glass and keep moving. Henry agrees, but is unable to pull the trigger; instead, he offers money for someone to stay with Glass and bury him after his death. When the only volunteers are Hawk and the young Jim Bridger, Fitzgerald agrees to stay for money, to recoup his losses from the abandoned pelts. After the others leave, Fitzgerald attempts to smother Glass but is discovered by Hawk. Fitzgerald, concerned that Hawk's loud reaction to him attempting to kill Glass could alert the Arikara, stabs Hawk to death as Glass watches helplessly. The next morning, Fitzgerald convinces Bridger that the Arikara are approaching and they must abandon Glass. After they depart, Fitzgerald admits he lied. When Fitzgerald and Bridger meet Henry at the fort, Fitzgerald tells him that Glass died and Hawk vanished. In spite of his guilt, Bridger is complicit in the lie..","Revenant, The",1663202,281957
49274,49274,Happy Feet,2006,Happy Feet,2006,"This is the story of a little penguin named Mumble who has a terrible singing voice and later discovers he has no Heartsong. However, Mumble has an astute talent for something that none of the penguins had ever seen before: tap dancing. Though Mumble's mom, Norma Jean, thinks this little habit is cute, his dad, Memphis, says it ""just ain't penguin."" Besides, they both know that, without a Heartsong, Mumble may never find true love. As fate would have it, his one friend, Gloria, happens to be the best singer around. Mumble and Gloria have a connection from the moment they hatch, but she struggles with his strange ""hippity- hoppity"" ways. Mumble is just too different--especially for Noah the Elder, the stern leader of Emperor Land, who ultimately casts him out of the community. Away from home for the first time, Mumble meets a posse of decidedly un-Emperor-like penguins--the Adelie Amigos. Led by Ramon, the Adelies instantly embrace Mumble's cool dance moves and invite him to party with them. In Adelie Land, Mumble seeks the counsel of Lovelace the Guru, a crazy-feathered Rockhopper penguin who will answer any of life's questions for the price of a pebble. Together with Lovelace and the Amigos, Mumble sets out across vast landscapes and, after some epic encounters, proves that by being true to yourself, you can make all the difference in the world.::Anthony Pereyra <hypersonic91@yahoo.com>",Happy Feet,0366548,9836
125,125,Flirting With Disaster,1996,Flirting With Disaster,1996,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",Flirting with Disaster,0116324,2074
49280,49280,Bobby,2006,Bobby,2006,"It's June 4, 1968, the day of the California Democratic presidential primary. At the Ambassador Hotel in Los Angeles, the campaign headquarters of New York Senator Robert F. Kennedy's presidential bid, there is optimism as he is seen by many as the savior to get the United States out of its current troubled times, especially in dealing with a war the public doesn't want and thinks it can't win. In addition to the those working on the campaign, others at the hotel are dealing with their daily lives which reflect both the troubled times and the hope and optimism of the campaign: a young couple about to get married as part of the anti-war effort; hotel staff dealing with race relations among their own, specifically between whites, blacks, and Mexicans; hotel staff dealing with marital relations among their own; senior hotel staff chatting about the twilight of their lives over games of chess; those looking forward to what they see as Don Drysdale's inevitable record-breaking sixth consecutive shut-out at that evening's Dodgers' game; a couple of campaign volunteers feeling guilty about getting high versus doing their volunteer job for the day of convincing a couple of hundred people to vote for the Senator; a Czech reporter wanting five minutes with the Senator for a good news story for her Socialist newspaper; the hotel's diva-ish and alcoholic entertainer and her husband contemplating her professional future; and an upper middle class New York couple more concerned about public perception than the realities of their marriage. But all hope for a bright American future comes to a halt at 12:06am on June 5, 1968...::Huggo",Bobby,0308055,10741
131,131,Frankie Starlight,1995,Frankie Starlight,1995,"This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life...",Frankie Starlight,0113107,73067
132,132,Jade,1995,Jade,1995,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",Jade,0113451,11863
82053,82053,Casino Jack,2010,Casino Jack,2010,A hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.::Anonymous,Casino Jack,1194417,45324
8327,8327,Dolls,2002,Dolls,2002,Three stories of never-ending love.,Dolls,0330229,870
90249,90249,Real Steel,2011,Real Steel,2011,"In the near future when people become uninterested in boxing and similar sports, a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone. Charlie Kenton, a former boxer who's trying to make it in the new sport, not only doesn't do well, he is very deeply in the red. When he learns that his ex, mother of his son Max, dies, he goes to figure out what to do with him. His ex's sister wants to take him in but Charlie has first say in the matter. Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them. He takes Max for the summer. And Max improves his control of his robot. But when the robot is destroyed, they go to a scrap yard to get parts. Max finds an old generation robot named Atom and restores him. Max wants Atom to fight but Charlie tells him he won't last a round. However, Atom wins. And it isn't long before Atom is getting major bouts. Max gets Charlie to teach Atom how to fight, and the father and son bond strenghtens.::rcs0411@yahoo.com",Real Steel,0433035,39254
8332,8332,Sunday Bloody Sunday,1971,Sunday Bloody Sunday,1971,Divorced working woman Alex and well-to-do Jewish family doctor Daniel Hirsh share not only the same...,Sunday Bloody Sunday,0067805,45938
73874,73874,Blood and Bone,2009,Blood and Bone,2009,"In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.::Anonymous",Blood and Bone,0346631,22164
8340,8340,Escape from Alcatraz,1979,Escape from Alcatraz,1979,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world.",Escape from Alcatraz,0079116,10734
149,149,Amateur,1994,Amateur,1994,"Isabelle is an ex-nun waiting for her special mission from God. In the meantime, she is making a living writing pornography...",Amateur,0109093,30157
150,150,Apollo 13,1995,Apollo 13,1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Apollo 13,0112384,568
151,151,Rob Roy,1995,Rob Roy,1995,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",Rob Roy,0114287,11780
139417,139417,Tale of Tales,2015,Tale of Tales,2015,"Once upon a time there were three neighboring kingdoms each with a magnificent castle, from which ruled kings and queens, princes and princesses. One king was a fornicating libertine, another captivated by a strange animal, while one of the queens was obsessed by her wish for a child. Sorcerers and fairies, fearsome monsters, ogres and old washerwomen, acrobats and courtesans are the protagonists of this loose interpretation of the celebrated tales of Giambattista Basile.::Ipsith",Tale of Tales,3278330,314405
153,153,Batman Forever,1995,Batman Forever,1995,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Batman Forever,0112462,414
155,155,Beyond Rangoon,1995,Beyond Rangoon,1995,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma...",Beyond Rangoon,0112495,1873
156,156,Blue in the Face,1995,Blue in the Face,1995,Wayne Wang's follow-up movie to Smoke (1995) presents a series of improvisational situations strung...,Blue in the Face,0112541,5894
158,158,Casper,1995,Casper,1995,A paranormal expert and his daughter bunk in an abandoned house populated by three mischievous ghosts and one friendly one.,Casper,0112642,8839
159,159,Clockers,1995,Clockers,1995,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",Clockers,0112688,20649
161,161,Crimson Tide,1995,Crimson Tide,1995,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.",Crimson Tide,0112740,8963
49314,49314,Harsh Times,2006,Harsh Times,2006,"Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates. His best friend is pressured by his girlfriend Sylvia to find a job, but Jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his Mexican girlfriend.::batfreak79",Harsh Times,0433387,7873
163,163,Desperado,1995,Desperado,1995,A gunslinger is embroiled in a war with a local drug runner.,Desperado,0112851,8068
167,167,Feast of July,1995,Feast of July,1995,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.",Feast of July,0113044,259209
8360,8360,Shrek 2,2004,Shrek 2,2004,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,Shrek 2,0298148,809
168,168,First Knight,1995,First Knight,1995,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",First Knight,0113071,6520
170,170,Hackers,1995,Hackers,1995,This movie is about hackers who are blamed for making a virus that will capsize 5 oil tankers.,Hackers,0113243,10428
172,172,Johnny Mnemonic,1995,Johnny Mnemonic,1995,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",Johnny Mnemonic,0113481,9886
65709,65709,This Filthy World,2006,This Filthy World,2006,"At the Harry DeJour Playhouse in New York in the mid-2000s, John Waters emerges from a confessional onto a stage littered with trash. He tells stories. After a few about his childhood and early influences, he roughly follows the chronology of his career as a film director, relating anecdotes about the making of each film and letting those stories lead him to riffs on other topics. Gay references and wry observations about people's foibles and limits are constants. Waters' looks, too, are the butt of his jokes.::<jhailey@hotmail.com>",This Filthy World,0844761,47658
8366,8366,Saved!,2004,Saved!,2004,"When a girl attending a Christian high school becomes pregnant, she finds herself ostracized and demonized, as all of her former friends turn on her.",Saved!,0332375,13193
82095,82095,Skyline,2010,Skyline,2010,"Jarrod and his pregnant girlfriend Elaine travel to Los Angeles to meet his old friend and successful entrepreneur Terry, and his wife Candice. Terry gives a party in his apartment for Jarrod and offers a job position to him in LA. Terry's assistant and lover Denise (Crystal Reed) and his friend Ray (Neil Hopkins) sleep on the couch in the living room, but in the dawn of the next morning, the group is awakened by mysterious beams of blue light. Ray stares at the light and is taken by the mysterious force. The group of friends try to escape from the alien invaders.::Claudio Carvalho, RIo de Janeiro, Brazil",Skyline,1564585,42684
8368,8368,Harry Potter and the Prisoner of Azkaban,2004,Harry Potter and the Prisoner of Azkaban,2004,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",Harry Potter and the Prisoner of Azkaban,0304141,673
175,175,Kids,1995,Kids,1995,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking, and deflowering virgins.",Kids,0113540,9344
173,173,Judge Dredd,1995,Judge Dredd,1995,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",Judge Dredd,0113492,9482
8369,8369,Mindhunters,2004,Mindhunters,2004,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,Mindhunters,0297284,16617
180,180,Mallrats,1995,Mallrats,1995,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",Mallrats,0113749,2293
49330,49330,London to Brighton,2006,London to Brighton,2006,"In London, the pimp Derek assigns the prostitute Kelly that works for him to find a young girl on the streets to escort the powerful mobster Duncan Allen. Kelly finds the twelve year-old runaway Joanne in the train station and Derek proposes one hundred pounds for the service and the girl accepts. Kelly befriends Joanne and takes her to Duncan's mansion. When Joanne cries in the bedroom where she is with Duncan, Kelly runs and defends the girl. At 3:07 AM, the bruised Kelly and the tearful Joanne lock themselves in a public toilet. Kelly asks Joanne to stay there because she will raise some money for them to travel to Brighton. Meanwhile, Duncan's son Stuart Allen calls Derek and asks him to meet him in a night-club. When Derek arrives, Stuart tells that his father is dead and he wants the responsible; further, he cuts his knee sinew to prove that he is not kidding. Derek calls his associate Chum and they begin to chase the girls.::Claudio Carvalho, Rio de Janeiro, Brazil",London to Brighton,0490166,14823
182,182,Moonlight and Valentino,1995,Moonlight and Valentino,1995,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,Moonlight and Valentino,0113851,68274
183,183,Mute Witness,1994,Mute Witness,1994,"A mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must escape capture.",Mute Witness,0110604,48787
8376,8376,Napoleon Dynamite,2004,Napoleon Dynamite,2004,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Napoleon Dynamite,0374900,8193
184,184,Nadja,1994,Nadja,1994,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional...",Nadja,0110620,34574
186,186,Nine Months,1995,Nine Months,1995,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",Nine Months,0113986,11472
98491,98491,Paperman,2012,Paperman,2012,"In New York, an office clerk stumbles with the girl of his dreams on the platform of the train station while commuting. Out of the blue, she takes another train and when he sees, the train in gone with the beautiful girl. During the working hours, the impossible happens: the young man sees his dream girl through the window in the building on the other side of the street. He tries to call her attention with paper airplanes despite the disapproval of his boss. When she leaves the office where she is, the man runs to the street expecting to meet his beloved woman. Will he find her?::Claudio Carvalho, Rio de Janeiro, Brazil",Paperman,2388725,140420
194,194,Smoke,1995,Smoke,1995,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",Smoke,0114478,10149
195,195,Something to Talk About,1995,Something to Talk About,1995,A woman's world is rocked when she discovers her husband is cheating on her.,Something to Talk About,0114496,18402
196,196,Species,1995,Species,1995,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,Species,0114508,9348
198,198,Strange Days,1995,Strange Days,1995,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,Strange Days,0114558,281
